beta,item,variance,numel,height,width,num_inversion_steps
0.1,bottle->building,0.4807068109512329,524288,1024,2048,28
0.1,clay->crystal,0.525083065032959,524288,1024,2048,28
0.1,cozy->sleek,0.4995173215866089,524288,1024,2048,28
0.1,forest->desert,0.491428405046463,524288,1024,2048,28
0.1,img1,0.4825415015220642,524288,1024,2048,28
0.1,petal->ember,0.4860733151435852,524288,1024,2048,28
0.2,bottle->building,0.9371723532676697,524288,1024,2048,28
0.2,clay->crystal,0.9511712193489075,524288,1024,2048,28
0.2,cozy->sleek,0.9458611607551575,524288,1024,2048,28
0.2,forest->desert,0.9380063414573669,524288,1024,2048,28
0.2,img1,0.9363352060317993,524288,1024,2048,28
0.2,petal->ember,0.9367774128913879,524288,1024,2048,28
0.3,bottle->building,1.2137924432754517,524288,1024,2048,28
0.3,clay->crystal,1.2280910015106201,524288,1024,2048,28
0.3,cozy->sleek,1.2170544862747192,524288,1024,2048,28
0.3,forest->desert,1.215100646018982,524288,1024,2048,28
0.3,img1,1.2185344696044922,524288,1024,2048,28
0.3,petal->ember,1.213901400566101,524288,1024,2048,28
0.4,bottle->building,1.2426345348358154,524288,1024,2048,28
0.4,clay->crystal,1.238258719444275,524288,1024,2048,28
0.4,cozy->sleek,1.244136929512024,524288,1024,2048,28
0.4,forest->desert,1.2450779676437378,524288,1024,2048,28
0.4,img1,1.2443761825561523,524288,1024,2048,28
0.4,petal->ember,1.2427098751068115,524288,1024,2048,28
0.5,bottle->building,1.1933813095092773,524288,1024,2048,28
0.5,clay->crystal,1.1872220039367676,524288,1024,2048,28
0.5,cozy->sleek,1.1918178796768188,524288,1024,2048,28
0.5,forest->desert,1.191929578781128,524288,1024,2048,28
0.5,img1,1.1916769742965698,524288,1024,2048,28
0.5,petal->ember,1.1931571960449219,524288,1024,2048,28
0.6,bottle->building,1.1196991205215454,524288,1024,2048,28
0.6,clay->crystal,1.1194440126419067,524288,1024,2048,28
0.6,cozy->sleek,1.1192892789840698,524288,1024,2048,28
0.6,forest->desert,1.11495041847229,524288,1024,2048,28
0.6,img1,1.1141650676727295,524288,1024,2048,28
0.6,petal->ember,1.1137934923171997,524288,1024,2048,28
0.7,bottle->building,1.0489858388900757,524288,1024,2048,28
0.7,clay->crystal,1.0517604351043701,524288,1024,2048,28
0.7,cozy->sleek,1.0514416694641113,524288,1024,2048,28
0.7,forest->desert,1.053816318511963,524288,1024,2048,28
0.7,img1,1.0540175437927246,524288,1024,2048,28
0.7,petal->ember,1.0543160438537598,524288,1024,2048,28
0.8,bottle->building,1.0082708597183228,524288,1024,2048,28
0.8,clay->crystal,1.0041987895965576,524288,1024,2048,28
0.8,cozy->sleek,1.0049721002578735,524288,1024,2048,28
0.8,forest->desert,1.0078299045562744,524288,1024,2048,28
0.8,img1,1.006181001663208,524288,1024,2048,28
0.8,petal->ember,1.0107684135437012,524288,1024,2048,28
0.9,bottle->building,0.9789798259735107,524288,1024,2048,28
0.9,clay->crystal,0.9786232113838196,524288,1024,2048,28
0.9,cozy->sleek,0.9816315770149231,524288,1024,2048,28
0.9,forest->desert,0.9811950922012329,524288,1024,2048,28
0.9,img1,0.9817866683006287,524288,1024,2048,28
0.9,petal->ember,0.9794414043426514,524288,1024,2048,28
